case_number,motion_number,hearing_date,request_type,project_address,block,lot
2000.281C,15059,2000-05-11,conditional_use,2300 California Street,636,33
1999.414C,15086,2000-06-08,conditional_use,325 fremont street,3747,12;13;14
2000.023C,15088,2000-06-08,conditional_use,1731-1741 powell street,101,4
2000.113C,15080,2000-06-08,conditional_use,2000 Van Ness Avenue,595,5
2000.391C,15087,2000-06-08,conditional_use,4141 Geary Boulevard,1539,2;3;4
2000.147C,15091,2000-06-15,conditional_use,400 McAllister Street,766,2
2000.303C,15092,2000-06-15,conditional_use,2548 24th Street,4213,1
1999.893C,15094,2000-06-22,conditional_use,114 7th Street,3727,1
2000.399C,15093,2000-06-22,conditional_use,2001 37th Avenue,2094,6
1999.571C,15914,2000-07-06,conditional_use,1344 Ocean Avenue,3198,16
1999.827EC,15908,2000-07-06,conditional_use,160 harrison street,3745,8
2000.161C,15910,2000-07-06,conditional_use,4040 24th Street,3656,12
2000.185C,15911,2000-07-06,conditional_use,131-135 gough street,838,4
2000.266C,15909,2000-07-06,conditional_use,720 Moscow Street,6338,24
2000.378T,15905,2000-07-06,planning_code_amendment,,,
2000.566C,15913,2000-07-06,conditional_use,2500 Turk Street,1107,3A
1999.746C,15916,2000-07-13,conditional_use,360-10th Street,3520,9
2000.063CV,15923,2000-07-13,conditional_use,1638 kirkwood avenue,5279,52
2000.459B,15922,2000-07-13,office_allocation,2801 Leavenworth Street,10,1
1999.040CV,15925,2000-07-20,conditional_use,1738 9th Avenue,2041,31;32
2000.576C,15929,2000-07-20,conditional_use,389 Ninth Avenue,1441,35
2000.387CR,15930,2000-07-27,conditional_use,3 Com Park,5000,1
2000.400C,15931,2000-07-27,conditional_use,950 Mason Street,244,1
1999.209EC,15935,2000-08-03,conditional_use,1748 haight street,1229B,8;32;33;34;35
1999.728C,15933,2000-08-03,conditional_use,"2, 4 and 5 charlton court",542,26;27;31
1999.817C,15936,2000-08-03,conditional_use,990 columbus,65,48
2000.304C,15934,2000-08-03,conditional_use_modification,4050 19th Avenue,7083,10
2000.323C,15937,2000-08-03,conditional_use,545 Powell Street,284,1
1998.497B,15939,2000-08-10,office_allocation,215 fremont street,3738,12
2000.326C,15940,2000-08-10,conditional_use,988 Howard Street,3725,25
2000.565C,15942,2000-08-10,conditional_use_modification,430 Columbus Avenue,131,16
1999.086C,15965,2000-08-24,conditional_use,815-827 Hyde Street,279,4
2000.225CV,15963,2000-08-24,conditional_use,3131 Webster Street,509,2
2000.363CV,15958,2000-08-24,conditional_use,471 and 479 Castro Street,3582,59;60
2000.540C,15964,2000-08-24,conditional_use,1875 Alemany Boulevard,6956,23
1998.953CD,15975,2000-09-07,conditional_use,557 4th street,3776,119
1999.668BEK,15968,2000-09-07,downtown_project,38-44 Tehama Street,3736,111
2000.210C,15969,2000-09-07,conditional_use,2773 folsom street,3640,27
2000.262C,15970,2000-09-07,conditional_use,930 Gough Street,744,9
2000.425C,15971,2000-09-07,conditional_use,1649 Ocean Avenue,6935,27
2000.191X,15998,2000-09-14,downtown_project,61-69 clementina street,3736,36;37
2000.209C,15980,2000-09-14,conditional_use,1470 pine street,645,7A
2000.292C,15979,2000-09-14,conditional_use,772 south van ness avenue,3590,8
2000.745C,15978,2000-09-14,conditional_use,801 38th Avenue,1681,1
1999.216C,15987,2000-09-21,conditional_use,741 ellis street,740,23
2000.136C,15983,2000-09-21,conditional_use,1026 folsom street,3731,15
2000.538C,15982,2000-09-21,conditional_use,3333 25th Street,6527,45
2000.553C,15988,2000-09-21,conditional_use,1129 Folsom Street,3755,99
2000.602C,15984,2000-09-21,conditional_use,4260 Mission Street,6802,1
2000.710C,15986,2000-09-21,conditional_use,470 west portal avenue,2484,8
2000.747C,15985,2000-09-21,conditional_use,2302 polk street,548,15
2000.821Q,15981,2000-09-21,,1649-57 Greenwich Street,521,33
1999.410C,16001,2000-10-05,conditional_use,450 rhode island street,3978,1
