case_number,motion_number,hearing_date,request_type,project_address,block,lot
2005.0935TZC,17161,2005-12-15,planning_code_amendment,4800 Third Street,5322,45
2005.0935TZC,17163,2005-12-15,conditional_use,4800 third street,5322,45
2004.0027ACEK,17168,2006-01-05,historic,900 Minnesota Street,4106,27
2004.0746C,17173,2006-01-19,conditional_use,876 6th Street,3704,25
2005.0771C,17176,2006-01-19,conditional_use,990 Columbus Avenue,65,48
2005.0779C,17174,2006-01-19,conditional_use,2871 24th Street,4268,31
2005.0795C,17178,2006-01-19,conditional_use,2015 greenwich street,517,1
2005.0879C,17175,2006-01-19,conditional_use,1155 Taraval Street,2404,35
2005.0565C,17179,2006-01-26,conditional_use,2110 clement street,1411,9
2005.1087ET,17183,2006-02-02,planning_code_amendment,,,
2005.0480CV,17186,2006-02-09,conditional_use,2814-2824 Jennings Street,4912,1
2005.0675C,17190,2006-02-23,conditional_use,2591-2593 san bruno avenue,5438,22
2004.0481X,17199,2006-03-02,large_project_authorization,45 lansing,3749,59
2005.1068CKV,17193,2006-03-02,large_project_authorization,1340-1390 mission street,3508,26;27;51
2005.1068CKVX,17194,2006-03-02,conditional_use,1340-1390 mission street,3508,26;27;51
2005.1127C,17195,2006-03-02,large_project_authorization,1340 mission street,3508,51
2006.0133EKC,17197,2006-03-02,conditional_use,1299 bush street,279,14
2005.0850C,17205,2006-03-09,conditional_use,2200 Ingalls Street,4831,8
2006.0147X,17204,2006-03-09,downtown_project,145 natoma street,3722,14
2005.0838C,17207,2006-03-16,conditional_use,1135 Evans Avenue,4602A,14
2005.1089C,17209,2006-03-16,conditional_use,4041 geary boulevard,1540,1A;3;50;51
2004.0852EMZCV,17214,2006-03-23,large_project_authorization,1 hawthorne place,3735,47
2004.0852EMZCV,17214,2006-03-23,other,1 hawthorne place,3735,47
2004.0852EMZXCV,17215,2006-03-23,conditional_use,1 hawthorne place,3735,47
2004.0852EMZXCV,17215,2006-03-23,conditional_use,1 hawthorne place,3735,47
2005.0804C,17221,2006-04-06,conditional_use,2155 Webster Street,629,16;17;18;34;37;38
2005.1056CV,17222,2006-04-06,conditional_use,590 castro street,2695,16
2006.0384B,17223,2006-04-06,large_project_authorization,409 & 499 Illinois Street,3940,1
2005.0946XV,17226,2006-04-13,downtown_project,153 kearny street,293,10;11;12;13
2006.0332C,17225,2006-04-13,conditional_use,2406 bryant street,4150,39
2005.0894C,17230,2006-04-20,coastal,100 armory drive,7281,5
2005.0894CPR,17229,2006-04-20,conditional_use,100 armory drive,7281,5
2005.0894CPR,17231,2006-04-20,general_plan_amendment,100 armory drive,7281,5
2006.0187C,17228,2006-04-20,conditional_use,2209 polk street,550,8
2006.0290XV,17233,2006-04-20,downtown_project,715-719 and 721 market street,3706,63;64
2004.0897CVZ,17236,2006-04-27,conditional_use,1315-1327 7th avenue,1762,4;5;6
2005.0475EK,17234,2006-04-27,downtown_project,40 jessie street,3708,23
2005.1203CV,17235,2006-04-27,conditional_use,427-472 diamond street,2768,13
2004.0892EKC,17245,2006-05-11,conditional_use,1844 market street,871,16
2006.0143C,17243,2006-05-11,conditional_use,3692 18th street,3578,27
2006.0450T,17246,2006-05-11,planning_code_amendment,,,
2005.0857CD,17247,2006-05-25,conditional_use,324 cortland avenue,5677,22
2005.1084CV,17250,2006-05-25,conditional_use,1811 34th avenue,2071,1
2006.0373T,17248,2006-05-25,planning_code_amendment,,,
2004.0973C,17252,2006-06-01,conditional_use_modification,7070 california street,1392,37
2005.0816IC,17257,2006-06-08,conditional_use,55 stockton street,327,1
2006.0109Z,17259,2006-06-08,rezoning_map_amendment,3184 market street,2659,59
2006.0506C,17263,2006-06-08,conditional_use,1320 Castro Street,6506,3
2006.0544ET,17261,2006-06-08,planning_code_amendment,,,
2005.1129C,17265,2006-06-15,conditional_use,1161 Post Street,694,12
2005.0582C,17273,2006-06-22,conditional_use,655 brotherhood way,7380,37;38
2004.0165EMZH,17282,2006-07-13,other,1 kearny street/710 market street,312,3;10
2004.0165EMZHX,17278,2006-07-13,ceqa_environmental,1 kearny street/710 market street,312,3;10
2006.0468C,17276,2006-07-13,conditional_use,1201 ortega street,2115,2;3;4;35;36;37
2006.0618C,17275,2006-07-13,conditional_use,156 broad street,7107,19
2005.0617CEKV,17286,2006-07-27,conditional_use,130 turk street,339,6
2002.1179EKMZT,17296,2006-08-03,downtown_project,1167 market street,3507,39;51;52;53
2002.1179EKMZTXC,17298,2006-08-03,other,1167 market street,3507,39;51;52;53
2002.1179EKMZTXCW,17297,2006-08-03,conditional_use,1167 market street,3507,39;51;52;53
2006.0745C,17288,2006-08-03,conditional_use,501 fell street,830,1
2005.0659C,17305,2006-08-10,conditional_use,85 saint elmo way,3049,32
2005.0737C,17306,2006-08-10,conditional_use,2601 Mission Street,3637,69
2006.0745C,17304,2006-08-10,conditional_use,2420 sutter street,1052,23
2006.0204CV,17311,2006-09-28,conditional_use,189-191 leland avenue,6251,17
2006.0546C,17310,2006-09-28,conditional_use,77 van ness avenue,834,22
2006.0859C,17319,2006-10-05,conditional_use,372-398 hayes street,809,21
2006.0356CR,17235,2006-10-19,general_plan_amendment,766-776 vallejo street,130,43
2006.0356CR,17236,2006-10-19,conditional_use,766-776 Vallejo Street,130,43
2006.0571L,17327,2006-10-19,historic,3750 18th Street,,
2006.0797C,17330,2006-11-02,conditional_use,510 Frederick Street,1263,65
2006.1040C,17331,2006-11-02,conditional_use,2110 clement street,1411,9
2006.1212B,17333,2006-11-02,office_allocation,1500 owens street,8709,6
2006.1216B,17332,2006-11-02,office_allocation,1600 owens street,8709,10
2006.1221E,17335,2006-11-02,ceqa_environmental,,,
2005.0817CD,17339,2006-11-09,conditional_use,473 haight street,859,38
2006.0073CD,17341,2006-11-30,conditional_use,1042 jamestown avenue,4969,15
2005.0776C,17350,2006-12-14,conditional_use,83-85 brady street,3505,22
2005.0739CP,17352,2007-01-11,conditional_use,720 La Playa,42,1596
2006.0134EVX,17354,2007-01-11,large_project_authorization,16 jessie street/1 ecker street,3708,22
2006.1400ET,17356,2007-01-11,planning_code_amendment,,,
2005.0488CEV,17361,2007-01-18,conditional_use,25 lusk street,3787,22
2005.0488CEV,17361,2007-01-18,conditional_use,25 lusk street,3787,22
2005.1398T,17362,2007-01-18,planning_code_amendment,,,
2006.0451ACV,17360,2007-01-18,conditional_use,250 brannan street,3774,25
2006.0451ACV,17360,2007-01-18,conditional_use,250 brannan street,3774,25
2006.0676C,17359,2007-01-18,conditional_use,2198 Market Street,3542,39
2006.0676C,17359,2007-01-18,conditional_use,2198 market street,3542,39
2004.0339C,17364,2007-01-25,conditional_use,1800 van ness avenue,619,9;10
2006.0798C,17368,2007-02-01,conditional_use,1723 union street,544,1B
2006.1008C,17370,2007-02-08,conditional_use,1515 19th avenue,1865,4
2006.1218C,17374,2007-02-08,conditional_use,690 stanyan street,1228,6
2006.1408C,17376,2007-02-15,conditional_use,2308 clement street,1409,19
2006.1203C,17381,2007-02-22,conditional_use,219 7th street,3731,41
2006.1464CX,17378,2007-02-22,other,46-54 Geary Street,310,24
2006.1464CX,17377,2007-02-22,conditional_use,46-54 geary street,310,24
2006.1487C,17384,2007-02-22,conditional_use,100 Clement Street,1431,18
2006.1510T,17379,2007-02-22,planning_code_amendment,,,
2006.1511C,17382,2007-02-22,conditional_use,2788 mission street,3643,10
2004.1031C,17386,2007-03-01,conditional_use,601 crescent way,4991,240
2006.1472CK,17390,2007-03-08,conditional_use,860 folsom street,,
2005.0859C,17395,2007-03-15,conditional_use,1606 noriega street,2026,22
2007.0050C,17394,2007-03-15,conditional_use,3560 18th street,3577,16
2006.0473CE,17402,2007-03-22,conditional_use,2125 chestnut street,490,28
2006.1131C,17399,2007-03-22,conditional_use,285 broad street,7114,35
2006.1219CV,17398,2007-03-22,conditional_use,610 fillmore street,821,18
2006.1509B,17401,2007-03-22,office_allocation,1455 third street and 455 mission bay blvd. south,8721,12
2006.1515C,17404,2007-03-22,conditional_use,1900 fillmore street,660,19
2006.1536B,17400,2007-03-22,office_allocation,1515 third street,8721,12
2003.0347E,17406,2007-04-05,ceqa_environmental,,,
2006.0584KCV,17414,2007-04-05,downtown_project,1407-1435 market street and 16-70 tenth street,3507,41
2006.0584KCV,17415,2007-04-05,conditional_use,1407-1435 market street and 16-70 tenth street,3507,41
2006.1275TZ,17413,2007-04-05,rezoning_map_amendment,,,
2007.0204C,17416,2007-04-12,conditional_use,1145 polk street,691,1
2005.0030C,17418,2007-04-19,conditional_use,3400 cesar chavez street,6569,4
2006.1095C,17422,2007-04-26,conditional_use,2035 Irving Street,1776,11B
2006.1502C,17424,2007-04-26,conditional_use,1710-1712 polk street,620,15
2007.0126C,17423,2007-04-26,conditional_use,2071 union street,541,16
2007.0198C,17421,2007-04-26,conditional_use,3739 26th street,6567,31
2006.0766EX,17426,2007-05-10,large_project_authorization,345 stockton street,295,16
2007.0214C,17429,2007-05-17,conditional_use,1377 fell street,1214,7;8;9;9A;17
2006.0734C,17434,2007-05-31,conditional_use,3192 16th Street,,
2004.0890CV,17439,2007-06-07,conditional_use,1868 van ness avenue,619,12
2005.1062BV,17440,2007-06-07,office_allocation,650 townsend street,3783,9
2006.0741C,17438,2007-06-07,conditional_use,1868 van ness avenue,619,12
2006.1414C,17437,2007-06-07,conditional_use,1868 van ness avenue,619,12
2007.0252C,17435,2007-06-07,conditional_use,2404 & 2406 bryant street,4150,39
2006.1080C,17449,2007-06-14,conditional_use,1029 natoma street,3511,55
2007.0286C,17448,2007-06-14,conditional_use,4041 geary boulevard,1540,50
2007.0337C,17447,2007-06-14,conditional_use,405 baker street,1199,7
2006.0856CV,17450,2007-06-21,conditional_use_modification,461 Baker Street and 1500 Grove Street,1199;1184,1;9
2006.1303C,17451,2007-06-21,conditional_use,77 oakwood street,3587,59
2007.0431C,17452,2007-06-21,conditional_use,"301 DeMontfort Avenue, and 251 Jules Avenue",6940;6933,1;12
2007.0338C,17454,2007-06-28,conditional_use,2263 chestnut street,489,32
2007.0344C,17458,2007-07-12,conditional_use,2410-2412 mission street,3609,2
2006.0572C,17462,2007-07-19,conditional_use,842 moultrie street,5810,9
2006.1356C,17461,2007-07-19,conditional_use,19 Wilmot Street,660,61
2007.0219C,17463,2007-07-19,conditional_use,536 central avenue,1198,24
2007.0469C,17464,2007-07-19,conditional_use_modification,1049-1053 howard street,3731,74
2006.0616BEK,17466,2007-07-26,office_allocation,120 howard street,3717,19
2006.0616BEK,17465,2007-07-26,large_project_authorization,120 howard street,3717,19
2007.0509T,17467,2007-07-26,planning_code_amendment,,,
2006.0157C,17472,2007-08-02,conditional_use,21 wood street,1069,4
2006.1273EKB,17469,2007-08-02,downtown_project,535 Mission Street,3721,68;83
2006.1273EKBX,17470,2007-08-02,large_project_authorization,535 Mission Street,3721,68;83
2007.0246C,17471,2007-08-02,conditional_use,1326 polk street,668,5
2006.0892CV,17477,2007-08-09,conditional_use,2145 geneva avenue,6323,8H
2007.0388CV,17475,2007-08-09,conditional_use,2574 san bruno avenue,5981,11
2007.0444C,17473,2007-08-09,conditional_use,1033-1037 irving street,1766,46
2007.0507C,17476,2007-08-09,conditional_use,2810 diamond street,6744,26
2007.0534C,17480,2007-08-30,conditional_use,1641 fillmore street,702,2
2006.0107C,17487,2007-09-20,conditional_use,300-314 randolph street,7088,51;56
2007.0685C,17483,2007-09-20,conditional_use,3251 20th Avenue,7295,21
2006.1454C,17502,2007-10-18,conditional_use,440 35th Avenue,1466,34
2007.0242CV,17503,2007-10-25,conditional_use,875 post street,303,14
2007.1106A,17507,2007-10-25,historic,236 monterey boulevard,6770,57
2006.0056C,17510,2007-11-08,conditional_use,317 and 331-333 cortland avenue,5667,15;14
2007.0952C,17511,2007-11-08,conditional_use,4841 mission street,6272,20
2006.0997C,17515,2007-12-06,conditional_use,1864 8th Avenue,2044,3A
2007.1241C,17517,2007-12-06,conditional_use,2112 15th Street,3541,10
2006.1248KCV,17521,2007-12-13,downtown_project,55 ninth street,3701,63
2006.1248KXC,17522,2007-12-13,conditional_use,55 Ninth Street,3701,63
2007.0929C,17519,2007-12-13,conditional_use,855 harrison street,3761,2
2007.0922C,17523,2007-12-20,conditional_use,1926 Lombard Street,493,6
2007.0971C,17524,2007-12-20,conditional_use,3571 sacramento street,1019,23
2007.1444ET,17545,2008-01-31,planning_code_amendment,,,
2006.0799CEKV,17566,2008-03-13,rezoning_map_amendment,261 octavia street,839,29
2006.0799CEKVZ,17567,2008-03-13,conditional_use,261 octavia street,839,29
2007.1467DD,1,2008-05-22,discretionary_review,1671 11th avenue,1932,12
2008.0220D,3,2008-05-22,discretionary_review,586 valley street,6611,23
2008.0308C,17600,2008-05-29,conditional_use,755 Portola Drive,2901C,10
2004.1245EKVX,17615,2008-06-12,large_project_authorization,300 grant avenue,287,13;14
2008.0132C,17648,2008-07-17,conditional_use,542 Green Street,,
2002.1302EX,17680,2008-08-14,large_project_authorization,2235 3rd street,4058,10
2006.1213C,17684,2008-08-14,conditional_use,5050 mission street,6969,1;11
2007.1422DDDV,12,2008-08-14,discretionary_review,126 guerrero street,3534,5
2008.0628C,17681,2008-08-14,conditional_use,2936 lyon street,940,17
2005.0470ACV,17688,2008-09-04,conditional_use,178 townsend street,3788,12
2007.0189D,14,2008-09-04,discretionary_review,337 lisbon street,6080,38
2007.1334A,17687,2008-09-04,historic,1189 tennessee street,4172,53
2008.0537D,15,2008-09-04,discretionary_review,2342 41st avenue,2369,22A
2008.0634C,17685,2008-09-04,conditional_use,2168 market street,3542,17
2008.0805D,16,2008-09-04,discretionary_review,313 28th street,6613,47
2008.0861C,17687,2008-09-04,conditional_use,1641-1669 Fillmore Street,702,1;2
2008.0478D,20,2008-09-11,discretionary_review,526 ellington,7100,3
2008.0724D,19,2008-09-11,discretionary_review,2522 40th avenue,2440,49
2008.0911T,17693,2008-09-11,planning_code_amendment,,,
2007.1426C,17699,2008-09-18,conditional_use,1800 haight street,1228,4
2008.0781T,17698,2008-09-18,planning_code_amendment,,,
2007.1014ACV,17705,2008-10-02,conditional_use,1011 tennessee street,4108,3G
2007.1014ACV,17704,2008-10-02,historic,1011 tennessee street,4108,3G
2008.0483B,17711,2008-10-02,office_allocation,650 terry francois boulevard,8722,1
2008.0926T,17708,2008-10-02,planning_code_amendment,,,
2007.0491C,17716,2008-10-16,conditional_use,1829 market street,3502,114
2007.1397C,17718,2008-10-16,conditional_use,1266 9th avenue,1742,43
2005.1018EKV,17730,2008-10-23,downtown_project,570 jessie street,3703,86
2006.0460EC,17733,2008-10-23,conditional_use,690 stanyan street,1228,5;6
2007.0206D,29,2008-10-23,discretionary_review,1 avanzada street,2724,3
2008.0426C,17723,2008-10-23,conditional_use,3166-3170 23rd street,3638,22
2008.0686C,17721,2008-10-23,conditional_use,3931-3933 24th street,6508,35
2008.1033C,17722,2008-10-23,conditional_use,59 30th Street,6660,44
2008.1057T,17726,2008-10-23,planning_code_amendment,,,
2008.1096T,17733,2008-10-23,planning_code_amendment,,,
2006.0432CV,17739,2008-11-06,conditional_use,299 valencia street,3532,14
2008.0501DDD,33,2008-11-06,discretionary_review,79 26th avenue,1305,8
2008.1103T,17735,2008-11-06,planning_code_amendment,,,
2007.1383EK,17746,2008-11-13,downtown_project,474 natoma street,3725,101
2007.1383EKXCV,17747,2008-11-13,conditional_use,474 natoma street,3725,101
2008.0853C,17744,2008-11-13,conditional_use,1119 taraval street,2404,1
2008.0881D,35,2008-11-13,discretionary_review,1864 green street,543,15
2008.1083X,17745,2008-11-13,downtown_project,340 fremont street,3748,6
2008.1259CTZ,17750,2008-11-13,other,4-8 guy place,3749,5
2007.0487EC,17764,2008-11-20,conditional_use,401 grove street,808,36
2007.0603CU,17765,2008-11-20,conditional_use,1001 potrero avenue,4154,1
2008.0644D,40,2008-11-20,discretionary_review,2425 wawona street,2504A,33
2008.1106D,44,2008-11-20,discretionary_review,2626 filbert street,943,3B
2007.0684DV,48,2008-12-04,discretionary_review,260 ripley street,5550,53
2008.1195C,17770,2008-12-04,conditional_use,38 bryant street,3768,23
2007.1337XH,17781,2008-12-11,historic,134-140 new montgomery street,3722,8
2007.1337XH,17780,2008-12-11,downtown_project,134-140 new montgomery street,3722,8
2007.1117CV,17797,2009-01-08,conditional_use,1731 powell street,101,4
2008.0658C,17798,2009-01-08,conditional_use,1349 clay street,220,33
2006.1294BKMX,17808,2009-01-15,rezoning_map_amendment,110 The Embarcadero,3715,2
2006.1294BKMXZ,17807,2009-01-15,downtown_project,110 The Embarcadero,3715,2
2006.1294BKMXZ,17805,2009-01-15,other,110 the embarcadero,3715,2
2006.1294BKMXZ,17806,2009-01-15,general_plan_amendment,110 The Embarcadero,3715,2
2006.1294BKMXZ,17804,2009-01-15,office_allocation,110 the embarcadero,3715,2
2008.0005C,17800,2009-01-15,conditional_use,439 bowdoin street,5918,26
2006.0826CV,17813,2009-02-05,conditional_use,1946 polk street,596,24
2008.1287D,65,2009-02-19,discretionary_review,1381 sanchez street,6579,25
2008.0862C,17840,2009-03-12,conditional_use,1622-1662 broadway,570,10;11
2009.0021DD,68,2009-03-12,discretionary_review,4024 26th street,6553,6
2008.1296P,17841,2009-03-19,coastal,john muir drive,7283,4
2007.1342CKE,17850,2009-03-26,other,168-186 eddy street,331,10;11
2007.1342CKE,17848,2009-03-26,conditional_use,168-186 eddy street,331,10;11
2008.1309D,72,2009-03-26,discretionary_review,2829 green street,956,21
2009.0109W,17851,2009-03-26,other,1167 market street,3507,39;51;52;53
2008.0733C,17856,2009-04-02,conditional_use,1166 geneva avenue,6413,31
2009.0041C,17852,2009-04-02,conditional_use,1351 taraval street,2402,26
2009.0061C,17854,2009-04-02,conditional_use,1511 sloat boulevard,7255,2
2008.1393T,17861,2009-04-09,planning_code_amendment,,,
2009.0117C,17860,2009-04-09,conditional_use,3154 fillmore street,516,22;23
2008.1401CV,17871,2009-05-07,conditional_use,995-999 sutter street,300,12
2007.0128CV,17880,2009-05-14,conditional_use_modification,2901 california street,1029,95;3
2007.1121XV,17878,2009-05-14,downtown_project,430 Main Street,3767,305;306
2007.1464EKCV,17875,2009-05-14,downtown_project,1036 mission street,3703,79;80
2007.1464EKCV,17876,2009-05-14,conditional_use,1036 mission street,3703,79;80
2008.1161C,17874,2009-05-14,conditional_use,99 West Portal Avenue,2979A,21A
2006.0884CEU,17885,2009-05-21,conditional_use,1150 ocean avenue,3180,3
2006.0884CEU,17885,2009-05-21,ceqa_environmental,1150 ocean avenue,3180,3
2008.0479C,17881,2009-05-21,conditional_use,1075 evans street,4603A,5
2005.0979XE,17893,2009-05-28,downtown_project,1390 market street,813,6
2009.0126C,17890,2009-05-28,conditional_use,2760 24th street,4210,16
2006.1431ECV,17894,2009-06-04,conditional_use,1960-1998 market street,872,5;6;7
2007.0129DDD,87,2009-06-04,discretionary_review,100 32nd avenue,1312,8
2008.0135U,17895,2009-06-04,planning_code_amendment,,,
2009.0068C,17896,2009-06-04,conditional_use,626-628 clement street,1426,22
2009.0273C,17897,2009-06-04,conditional_use,9 west portal avenue,2979A,29
2009.0150D,90,2009-06-11,discretionary_review,1101 green street,125,64;65
2009.0191X,17902,2009-06-11,downtown_project,45 lansing street,3749,59
2009.0237X,17901,2009-06-11,downtown_project,399 fremont street,3747,2
2009.0319X,17900,2009-06-11,downtown_project,340 fremont street,3748,6;7;8;9
2006.0430CVK,17906,2009-06-18,conditional_use,870 harrison street,3752,19
2009.0326C,17904,2009-06-18,conditional_use,999 brotherhood way,7380,16
2009.0337D,92,2009-06-18,discretionary_review,574 natoma street,3726,75
2005.1106C,17922,2009-07-16,conditional_use,2655 bush street,1052,24
2009.0405C,17928,2009-07-23,conditional_use,3034 24th street,3640,71
2009.0422XV,17923,2009-07-23,downtown_project,149 fell street,834,17
2009.0489C,17925,2009-07-23,conditional_use,1052-1058 folsom street,3731,21
2009.0396C,17929,2009-08-06,conditional_use,77 farallones street,7108,33
2007.0953C,17939,2009-08-13,conditional_use,1684-1698 market street,854,6
2009.0340C,17942,2009-09-03,conditional_use,1915 irving street,1775,52
2009.0476CV,17944,2009-09-03,conditional_use,178 townsend street,3788,12
2007.0007AEK,17949,2009-09-10,large_project_authorization,750 2nd street,3794,2A
2009.0327D,101,2009-09-10,discretionary_review,905-907 diamond street,6539,26
2009.0408C,17947,2009-09-10,conditional_use,2550 sloat boulevard,2512,5
2006.0825CVS,17951,2009-09-17,conditional_use,782-786 andover street,5825,7;8;9
2008.1155D&2008.1156D,107,2009-09-24,discretionary_review,673-675 44th avenue,1587,12
2009.0530C,17954,2009-09-24,conditional_use,2884 24th street,4208,22
2009.0629C,17953,2009-09-24,conditional_use,723 taraval street,2408,52
2009.0631D,111,2009-10-01,discretionary_review,3255 balboa street,1611,1A
2009.0750D,110,2009-10-01,discretionary_review,70 linda street,3588,49K
2009.0358C,17958,2009-10-08,conditional_use,854 folsom street,3733,20A
2009.0639C,17959,2009-10-08,conditional_use,1969 california street,649,16
2009.0747C,17960,2009-10-08,conditional_use,2233 Union Street,539,32
2008.0505DDDV,113,2009-10-15,discretionary_review,1321 deharo street,4218,36
2008.1157C,17964,2009-10-15,conditional_use,10 bernal heights boulevard,5548,3
2009.0804C,17963,2009-10-15,conditional_use,3505 B 17th Street,3578,1
2005.1076C,17968,2009-10-22,conditional_use,3135 24th street,6520,36
2008.1106D,114,2009-10-22,discretionary_review,2626 filbert street,943,3B
2009.0696C,17965,2009-10-22,conditional_use,"3690, 3692 18th Street",3578,27
2009.0856D,117,2009-10-22,discretionary_review,317 connecticut street,4036,27
2009.0262T,17974,2009-11-05,planning_code_amendment,,,
2009.0847B,17973,2009-11-05,office_allocation,660-680 alabama street,4020,2
2008.0185C,17993,2009-12-03,conditional_use,1102 taraval street,2350,17
2009.0650C,17991,2009-12-03,conditional_use,3936-3938 24th street,3654,44;45
2006.0431CEV,17997,2009-12-10,conditional_use,1080 sutter street,279,11
2009.0667D,128,2009-12-10,discretionary_review,1826 32nd avenue,2068,43
2009.0841T,18001,2009-12-17,planning_code_amendment,,,
2009.1006C,18002,2009-12-17,conditional_use,1626 taraval street,2355,10
2009.1024C,18005,2009-12-17,conditional_use,565 castro street,3583,62
