case_number,matched_block,score,runner_up,confidence,human_date,matched_date
2009.0261T,tagged/2009/May_14_2009.txt#0,13.5,,confident,2009-05-14,2009-05-14
2005.0979E,tagged/2009/May_14_2009.txt#1,13.5,10.5,confident,2009-05-14,2009-05-14
2009.0268T,tagged/2009/May_14_2009.txt#2,13.5,10.5,confident,2009-05-14,2009-05-14
2008.0194C,tagged/2009/May_14_2009.txt#11,23.0,,confident,2009-05-14,2009-05-14
2008.0327D,tagged/2009/May_14_2009.txt#17,15.0,,confident,2009-05-14,2009-05-14
2008.1257DV,tagged/2009/May_14_2009.txt#18,2.0,,confident,2009-05-14,2009-05-14
2010.0556D,tagged/2011/May_12_2011.txt#9,23.0,-6.0,confident,2010-12-02,2011-05-12
2009.0227TU,tagged/2010/March_4_2010.txt#6,9.0,,confident,2010-03-04,2010-03-04
2009.0464C,tagged/2010/October_7_2010.txt#1,11.0,,confident,2010-10-07,2010-10-07
2007.1238M,tagged/2010/October_7_2010.txt#3,11.5,-4.5,confident,2010-10-07,2010-10-07
2010.0459C,tagged/2010/October_7_2010.txt#4,14.0,5.0,confident,2010-10-07,2010-10-07
2010.0323D,tagged/2010/October_7_2010.txt#5,9.5,-4.5,confident,2010-10-07,2010-10-07
2009.0335CEKV,tagged/2010/October_7_2010.txt#6,-1.0,-1.0,ambiguous,2010-10-07,2010-10-07
2010.0754D,tagged/2010/October_7_2010.txt#8,9.5,,confident,2010-10-07,2010-10-07
2009.1003D,tagged/2010/October_7_2010.txt#9,-0.5,,ambiguous,2010-10-07,2010-10-07
2010.0475D,tagged/2010/October_7_2010.txt#10,-0.5,,ambiguous,2010-10-07,2010-10-07
2008.0968E,tagged/2010/October_7_2010.txt#11,43.0,,confident,2010-10-07,2010-10-07
2011.0063DV,tagged/2011/May_12_2011.txt#2,7.5,7.5,ambiguous,2011-05-12,2011-05-12
2008.0723E,tagged/2011/May_12_2011.txt#4,21.0,,confident,2011-05-12,2011-05-12
2008.0723V,tagged/2011/May_12_2011.txt#5,-3.0,,ambiguous,2011-05-12,2011-05-12
2010.0771EC,tagged/2011/May_12_2011.txt#6,26.0,,confident,2011-05-12,2011-05-12
2010.0137D,tagged/2011/May_12_2011.txt#7,13.5,,confident,2011-05-12,2011-05-12
2010.0137V,tagged/2011/May_12_2011.txt#8,-0.5,,ambiguous,2011-05-12,2011-05-12
2011.0194D,tagged/2011/May_12_2011.txt#10,15.5,,confident,2011-05-12,2011-05-12
2012.0822C,tagged/2013/February_7_2013.txt#7,35.0,13.0,confident,2012-08-16,2013-02-07
2007.0030ECKMRZ,tagged/2012/March_22_2010.txt#0,0.0,0.0,ambiguous,2012-03-22,2012-03-22
2013.0050CTZ,tagged/2013/February_7_2013.txt#2,12.5,12.5,ambiguous,2013-02-14,2013-02-07
2013.0029X,tagged/2013/February_21_2013.txt#6,14.5,7.5,confident,2013-02-21,2013-02-21
2012.0765C,tagged/2013/February_7_2013.txt#5,15.0,,confident,2013-02-07,2013-02-07
2013.0068X,tagged/2013/February_7_2013.txt#6,22.5,,confident,2013-02-07,2013-02-07
2012.1193C,tagged/2013/February_7_2013.txt#9,8.0,,confident,2013-02-07,2013-02-07
2012.0109CV,tagged/2013/February_7_2013.txt#10,0.0,0.0,ambiguous,2013-02-07,2013-02-07
2013.0647T,tagged/2014/November_20_2014.txt#6,9.0,3.0,confident,2013-06-20,2014-11-20
2014.0966T,tagged/2014/November_20_2014.txt#0,13.5,7.5,confident,2014-12-11,2014-11-20
2013.0986CX,tagged/2014/December_18_2014.txt#5,5.0,5.0,ambiguous,2014-12-18,2014-12-18
2013.1340D,tagged/2014/November_20_2014.txt#1,14.0,11.0,confident,2014-07-17,2014-11-20
2014.1540Q,tagged/2014/November_20_2014.txt#2,14.5,,confident,2014-11-20,2014-11-20
2014.1146C,tagged/2014/November_20_2014.txt#3,14.5,,confident,2014-11-20,2014-11-20
2011.0409B,tagged/2014/November_20_2014.txt#4,-8.0,,ambiguous,2014-11-20,2014-11-20
2011.0409E,tagged/2014/November_20_2014.txt#5,7.0,,confident,2014-11-20,2014-11-20
2013.1517ME,tagged/2014/November_20_2014.txt#7,12.0,12.0,ambiguous,2014-11-20,2014-11-20
2014.0156T,tagged/2014/November_20_2014.txt#8,13.5,13.5,ambiguous,2014-11-20,2014-11-20
2014.0799C,tagged/2014/November_20_2014.txt#11,13.0,13.0,ambiguous,2014-11-20,2014-11-20
2014.1379D,tagged/2014/November_20_2014.txt#12,12.0,,confident,2014-11-20,2014-11-20
2014.0177D,tagged/2014/November_20_2014.txt#13,9.5,,confident,2014-11-20,2014-11-20
